Lead_ID,Name,Source,Type,Area,Property_Type,Phone,WhatsApp,Email,Contact_Status,Contact_Date,Reply_Date,Interest_Level,Authorization_Received,Data_Package_Received,Photos_Received,CSV_Ready,Imported_to_StayOS,Admin_Review,LIVE,Lead_Score,Properties_Count,Notes,Next_Followup,Authorization_Evidence
DISC_001,PENDING_FOUNDER_EXPORT,discovery_google_places,SUPPLY_LEAD,New Cairo,Apartment,FILL_FROM_ADMIN_UI,FILL_FROM_ADMIN_UI,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Rank 1: Export from /admin/discovery?contact_status=AVAILABLE&min_score=80","2026-08-24",
DISC_002,PENDING_FOUNDER_EXPORT,discovery_google_places,SUPPLY_LEAD,New Cairo,Apartment,FILL_FROM_ADMIN_UI,FILL_FROM_ADMIN_UI,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Rank 2: Export from /admin/discovery?contact_status=AVAILABLE&min_score=80","2026-08-24",
DISC_003,PENDING_FOUNDER_EXPORT,discovery_google_places,SUPPLY_LEAD,New Cairo,Apartment,FILL_FROM_ADMIN_UI,FILL_FROM_ADMIN_UI,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Rank 3: Export from /admin/discovery?contact_status=AVAILABLE&min_score=80","2026-08-24",
DISC_004,PENDING_FOUNDER_EXPORT,discovery_google_places,SUPPLY_LEAD,New Cairo,Apartment,FILL_FROM_ADMIN_UI,FILL_FROM_ADMIN_UI,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Rank 4: Export from /admin/discovery?contact_status=AVAILABLE&min_score=80","2026-08-24",
DISC_005,PENDING_FOUNDER_EXPORT,discovery_google_places,SUPPLY_LEAD,New Cairo,Apartment,FILL_FROM_ADMIN_UI,FILL_FROM_ADMIN_UI,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Rank 5: Export from /admin/discovery?contact_status=AVAILABLE&min_score=80","2026-08-24",
DISC_006,PENDING_FOUNDER_EXPORT,discovery_google_places,SUPPLY_LEAD,New Cairo,Apartment,FILL_FROM_ADMIN_UI,FILL_FROM_ADMIN_UI,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Rank 6: Export from /admin/discovery?contact_status=AVAILABLE&min_score=80","2026-08-24",
DISC_007,PENDING_FOUNDER_EXPORT,discovery_google_places,SUPPLY_LEAD,New Cairo,Apartment,FILL_FROM_ADMIN_UI,FILL_FROM_ADMIN_UI,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Rank 7: Export from /admin/discovery?contact_status=AVAILABLE&min_score=80","2026-08-24",
DISC_008,PENDING_FOUNDER_EXPORT,discovery_google_places,SUPPLY_LEAD,New Cairo,Apartment,FILL_FROM_ADMIN_UI,FILL_FROM_ADMIN_UI,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Rank 8: Export from /admin/discovery?contact_status=AVAILABLE&min_score=80","2026-08-24",
DISC_009,PENDING_FOUNDER_EXPORT,discovery_google_places,SUPPLY_LEAD,New Cairo,Apartment,FILL_FROM_ADMIN_UI,FILL_FROM_ADMIN_UI,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Rank 9: Export from /admin/discovery?contact_status=AVAILABLE&min_score=80","2026-08-24",
PNET_001,FOUNDER_PERSONAL_CONTACT_1,personal_network,INDIVIDUAL,New Cairo,,FILL_MANUALLY,FILL_MANUALLY,FILL_MANUALLY,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Friend/family — owns or knows someone with New Cairo apartment","2026-08-24",
PNET_002,FOUNDER_PERSONAL_CONTACT_2,personal_network,INDIVIDUAL,New Cairo,,FILL_MANUALLY,FILL_MANUALLY,FILL_MANUALLY,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Friend/family — owns or knows someone with New Cairo apartment","2026-08-24",
PNET_003,FOUNDER_PERSONAL_CONTACT_3,personal_network,INDIVIDUAL,New Cairo,,FILL_MANUALLY,FILL_MANUALLY,FILL_MANUALLY,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Friend/family — owns or knows someone with New Cairo apartment","2026-08-24",
PNET_004,FOUNDER_PERSONAL_CONTACT_4,personal_network,INDIVIDUAL,New Cairo,,FILL_MANUALLY,FILL_MANUALLY,FILL_MANUALLY,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Friend/family — owns or knows someone with New Cairo apartment","2026-08-24",
PNET_005,FOUNDER_PERSONAL_CONTACT_5,personal_network,INDIVIDUAL,New Cairo,,FILL_MANUALLY,FILL_MANUALLY,FILL_MANUALLY,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Friend/family — owns or knows someone with New Cairo apartment","2026-08-24",
PNET_006,FOUNDER_PERSONAL_CONTACT_6,personal_network,INDIVIDUAL,New Cairo,,FILL_MANUALLY,FILL_MANUALLY,FILL_MANUALLY,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Friend/family — owns or knows someone with New Cairo apartment","2026-08-24",
PNET_007,FOUNDER_PERSONAL_CONTACT_7,personal_network,INDIVIDUAL,New Cairo,,FILL_MANUALLY,FILL_MANUALLY,FILL_MANUALLY,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Friend/family — owns or knows someone with New Cairo apartment","2026-08-24",
PNET_008,FOUNDER_PERSONAL_CONTACT_8,personal_network,INDIVIDUAL,New Cairo,,FILL_MANUALLY,FILL_MANUALLY,FILL_MANUALLY,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Friend/family — owns or knows someone with New Cairo apartment","2026-08-24",
PNET_009,FOUNDER_PERSONAL_CONTACT_9,personal_network,INDIVIDUAL,New Cairo,,FILL_MANUALLY,FILL_MANUALLY,FILL_MANUALLY,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Friend/family — owns or knows someone with New Cairo apartment","2026-08-24",
PNET_010,FOUNDER_PERSONAL_CONTACT_10,personal_network,INDIVIDUAL,New Cairo,,FILL_MANUALLY,FILL_MANUALLY,FILL_MANUALLY,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Friend/family — owns or knows someone with New Cairo apartment","2026-08-24",
AGY_001,Mynt Hospitality,agency_research,AGENCY,New Cairo 5th Settlement (Mivida HQ),Apartments (multiple compounds),17257,+20 122 604 4447,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,10,"HQ Mivida Business Park; on Booking.com as 'Mynt Stay New Cairo Residence'; 36K IG followers; covers Sodic Villette + 90 Avenue + Lake View; stayatmynt.com","2026-08-24",
AGY_002,Prime Residence (PHMG),agency_research,AGENCY,New Cairo 5th Settlement (East Walk area),Serviced Apartments,+20 2 2572 7262,+20 100 160 2264,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,12,"Oldest New Cairo STR operator; 40 units in New Cairo; 138 total Egypt; On Booking.com; stayatprime.com; hotline +20 106 823 3367","2026-08-24",
AGY_003,Kennah Stays,agency_research,AGENCY,New Cairo (Motamayez + Lake View + Silver Palm + Akoya),,+20 103 074 5422,+20 103 074 5422,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Compound specialist; on TripAdvisor + Airbnb confirmed; kennahstays.com; 'always cheaper than OTAs' — may be open to new channels","2026-08-24",
AGY_004,Kemetland,agency_research,AGENCY,New Cairo (Village Gate compound) + 6th Oct,,NOT_PUBLIC,+20 128 931 1839,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Airbnb Superhost; explicit Airbnb + Booking.com manager; kemetland.com; pitching a local Egyptian marketplace channel","2026-08-24",
AGY_005,Lemon Spaces,agency_research,AGENCY,New Cairo (2 named properties),,+20 127 620 1568,+20 127 620 1568,hello@lemonspaces.com,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Boutique brand; 2 New Cairo properties on lemonspaces.com; positions as direct-book alternative — good for quality supply","2026-08-24",
AGY_006,Brassbell,agency_research,AGENCY,Cairo-wide (New Cairo in coverage),Serviced Apartments,NOT_PUBLIC,+20 128 349 2222,info@brassbell.net,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,350,"350 listings Egypt-wide; on Airbnb + TripAdvisor + Agoda; brassbell.net; large operator — approach for channel partnership","2026-08-25",
AGY_007,Amlak Homes (T.G. Company),agency_research,AGENCY,New Cairo (Katameya Heights + Lake View + Arabella + 5th Settlement),,+20 100 121 2399,+20 122 325 5560,sale@amlakhomes.com,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,300,"Established brokerage since 1990s; 300+ listings; manages furnished apartments; amlakhomes.com; IG @westrealtoreg","2026-08-25",
AGY_008,Swft Stays,agency_research,AGENCY,New Cairo (dedicated city page),,,,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Has swftstays.com/property-city/new-cairo/; advertises Airbnb management; site returns 403 on direct fetch — contact via website form","2026-08-25",
OLX_001,OLX_LISTING_1,olx,SUPPLY_LEAD,New Cairo,,FILL_FROM_OLX,FILL_FROM_OLX,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Search: شقق مفروشة التجمع الخامس + يومي or أسبوعي | olx.com.eg","2026-08-25",
OLX_002,OLX_LISTING_2,olx,SUPPLY_LEAD,New Cairo,,FILL_FROM_OLX,FILL_FROM_OLX,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Search: شقق مفروشة التجمع الخامس + يومي or أسبوعي | olx.com.eg","2026-08-25",
OLX_003,OLX_LISTING_3,olx,SUPPLY_LEAD,New Cairo,,FILL_FROM_OLX,FILL_FROM_OLX,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Search: فيلات مفروشة التجمع الخامس يومي | olx.com.eg","2026-08-25",
OLX_004,OLX_LISTING_4,olx,SUPPLY_LEAD,Rehab,,FILL_FROM_OLX,FILL_FROM_OLX,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Search: شقق مفروشة الرحاب يومي | olx.com.eg","2026-08-25",
OLX_005,OLX_LISTING_5,olx,SUPPLY_LEAD,Rehab,,FILL_FROM_OLX,FILL_FROM_OLX,,NOT_CONTACTED,,,,,NO,NO,NO,NO,PENDING,NO,,,"Search: شقق مفروشة الرحاب يومي | olx.com.eg","2026-08-25",
